deleted_page,date_of_delete,name_of_page
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game A1,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 المباراة 1 المجموعة أ
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game A2,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 المباراة 2 المجموعة أ
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game A3,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 المباراة 3 المجموعة أ
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game A4,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 المباراة 4 المجموعة أ
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game A5,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 المباراة 5 المجموعة أ
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game A6,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 المباراة 6 المجموعة أ
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game B6,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 المباراة 6 المجموعة ب
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game B5,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 المباراة 5 المجموعة ب
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game B4,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 المباراة 4 المجموعة ب
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game B3,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 المباراة 3 المجموعة ب
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game B2,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 المباراة 2 المجموعة ب
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game B1,20230427140708,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 المباراة 1 المجموعة ب
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game C1,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 مباراة تحديد المركزين السابع والثامن
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game C2,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 مباراة تحديد المركزين الخامس والسادس
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game D1,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 مباراة نصف النهائي 1
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game D2,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 مباراة نصف النهائي 2
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game E1,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 مباراة الميدالية البرونزية
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side game E2,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020 مباراة الميدالية الذهبية
/* clientsitelink-remove:1||enwiki */ Template:2020 Summer Paralympics football 5-a-side convenience template navbox,20230427140707,قالب:جدول كرة القدم الخماسية للمكفوفين في الألعاب البارالمبية الصيفية 2020
/* clientsitelink-remove:1||enwiki */ Template:Life in Indonesia,20230627234956,قالب:الحياة في إندونيسيا
/* clientsitelink-remove:1||enwikibooks */ Template:SfnRef,20230402110136,قالب:SfnRef
/* clientsitelink-remove:1||enwiki */ Template:Pron-en,20230119020513,قالب:Pron-en
/* clientsitelink-remove:1||enwiki */ Template:Vb cl2 team,20230502102617,قالب:Vb cl2 team
/* clientsitelink-remove:1||enwiki */ Template:2024 Summer Olympics calendar,20230510234113,قالب:جدول الألعاب الأولمبية الصيفية 2024
/* clientsitelink-remove:1||enwiki */ Template:AC with n elements,20230225140007,قالب:صفحات بها عدد من معرفات الضبط الاستنادي
/* clientsitelink-remove:1||enwiki */ Template:MedalTopPic,20230703233159,قالب:MedalTopPic
/* clientsitelink-remove:1||enwiki */ Template:Syrianska FC squad,20230129154141,قالب:تشكيلة نادي سيريانسكا
/* clientsitelink-remove:1||enwiki */ Template:WorldCat id,20230503080139,قالب:معرف وورلد كات
/* clientsitelink-remove:1||enwikiquote */ Template:Worldcat id,20230604111855,قالب:معرف وورلد كات
/* clientsitelink-remove:1||enwiki */ Template:Db-p1-notice,20230228150444,قالب:Db-p1-notice
/* clientsitelink-remove:1||enwiki */ Template:One Piece series overview,20230420010955,قالب:قائمة حلقات ون بيس
/* clientsitelink-remove:1||enwiki */ Template:Syrian opposition,20231007135750,قالب:المعارضة السورية
/* clientsitelink-remove:1||enwiki */ Template:Db-a5,20230102023159,قالب:Db-a5
/* clientsitelink-remove:1||enwikibooks */ Template:End,20230402104035,قالب:نهاية قالب
/* clientsitelink-remove:1||enwiki */ Template:Db-p2,20230228150444,قالب:Db-p2
/* clientsitelink-remove:1||enwiki */ Template:Db-p1,20230228150444,قالب:Db-p1
/* clientsitelink-remove:1||enwiki */ Template:Db-f10,20230219152123,قالب:Db-f10
/* clientsitelink-remove:1||enwiki */ Template:ISO 15924 direction,20230804000148,قالب:ISO 15924 direction
/* clientsitelink-remove:1||enwiki */ Template:Open 13 tournaments,20230307001831,قالب:بطولة مارسيليا للتنس
/* clientsitelink-remove:1||enwiki */ Template:Db-badfiletype-notice,20230219152123,قالب:Db-badfiletype-notice
/* clientsitelink-remove:1||enwiki */ Template:Locked global account,20230422163214,قالب:حساب مغلق عالميا
/* clientsitelink-remove:1||enwiki */ Template:Xerez CD squad,20230113165833,قالب:تشكيلة نادي خيريث
/* clientsitelink-remove:1||enwiki */ Template:Kosovo-note,20230621193753,قالب:ملحوظة كوسوفو
/* clientsitelink-remove:1||enwikisource */ Template:Sockpuppeteer,20230813123041,قالب:صانع دمى جوارب
/* clientsitelink-remove:1||enwiki */ Template:Christianity in Europe,20230128150722,قالب:المسيحية في أوروبا
/* clientsitelink-remove:1||enwiki */ Template:Vb cl4 team,20230511000752,قالب:Vb cl4 team
