deleted_page,date_of_delete,name_of_page
/* clientsitelink-remove:1||enwiki */ Stefan Milosavljević,20230212231334,ستيفان ميلوسافلجيفيتش
/* clientsitelink-remove:1||enwiki */ Dominique Fred,20230630183318,دومينيك فرد
/* clientsitelink-remove:1||enwiki */ Association Olympique Ben Gardane,20230403155230,جمعية أولمبيك بنقردان
/* clientsitelink-remove:1||enwiki */ Roger Sackey,20230904201607,روجر ساكي
/* clientsitelink-remove:1||enwiki */ Tijani Ahmed,20230904201607,تيجاني أحمد
/* clientsitelink-remove:1||enwiki */ Razak Kasim,20230904201607,رزاق قاسم
/* clientsitelink-remove:1||enwiki */ Stephen Kwaku,20230908155822,ستيفن كواكو
/* clientsitelink-remove:1||enwiki */ Ebenezer Sekyere,20230908185800,ألبرت سيكاير
/* clientsitelink-remove:1||enwiki */ Benjamin Asare,20230908155532,بنجامين أساري
/* clientsitelink-remove:1||enwiki */ Samuel Frimpong,20230908185539,صموئيل فريمبورغ
/* clientsitelink-remove:1||enwiki */ Portal:War,20230401110701,بوابة:الحرب
/* clientsitelink-remove:1||enwiki */ 2021 Mumbai hospital fire,20230921013418,حريق مستشفى مومباي 2021
/* clientsitelink-remove:1||enwiki */ Ali Ouattara,20230904203330,علي واتارا
/* clientsitelink-remove:1||enwiki */ Godfred Kwadwo Asamoah,20230904184120,غودفريد كوادو أسامواه
/* clientsitelink-remove:1||enwiki */ Charles Brady King,20230225175332,تشارلز برادي كينغ
/* clientsitelink-remove:1||enwiki */ Tameem Al-Abdullah,20230131094405,تميم العبد الله
/* clientsitelink-remove:1||enwiki */ Saad Al-Nasser,20230429135852,سعد الناصر
/* clientsitelink-remove:1||enwiki */ Clement Abdul Latif,20230904183330,كليمنت عبد ال لطيف
/* clientsitelink-remove:1||enwiki */ Abdul Nasir Saeed,20230904201607,عبد ال ناصر سعيد
/* clientsitelink-remove:1||enwiki */ Peter Sarkodie (footballer),20230904201607,بيتر ساركودي
/* clientsitelink-remove:1||enwiki */ Prince Acquah,20230908155153,برنس أكوا
/* clientsitelink-remove:1||enwiki */ Richard Kwesi Nathan,20230904164710,ريتشارد كويسي ناثان
/* clientsitelink-remove:1||enwiki */ Pius Asante Yeboah,20230904185045,بيوس أسانتي يبواه
/* clientsitelink-remove:1||enwiki */ Farah El Zahed,20230108090043,فرح الزاهد
/* clientsitelink-remove:1||enwiki */ Farah El Zahed,20230203082322,فرح الزاهد
/* clientsitelink-remove:1||enwiki */ Vladimir Osipov (footballer),20231015212126,فلاديمير أوسيبوف (لاعب كرة قدم)
"/* clientsitelink-remove:1||enwiki */ Kwadwo Poku (footballer, born 1993)",20230904203330,كوادو بوكو (لاعب كرة قدم مواليد 1993)
/* clientsitelink-remove:1||enwiki */ Omari Aldridge,20230401084705,عمري ألدريدج
/* clientsitelink-remove:1||enwiki */ Moamen Ahmed,20230130173815,مؤمن أحمد سعيد
/* clientsitelink-remove:1||enwiki */ Big Floppa,20230321193435,فلوبا
/* clientsitelink-remove:1||enwiki */ Boubacar Doumbia,20230904184545,بوبكر دومبيا
/* clientsitelink-remove:1||enwiki */ A Million Pounds,20230105021119,مليون جنيه (فيلم)
/* clientsitelink-remove:1||enwiki */ Foster Appiah,20230904210823,فوستر أبياه
/* clientsitelink-remove:1||enwiki */ Jacob Kingston,20230904201607,جاكوب كينغستون
/* clientsitelink-remove:1||enwiki */ Haruna Aziz Dari,20230904184835,هارونا عزيز داري
/* clientsitelink-remove:1||enwiki */ Benedict Osei,20230904184944,بيندكت أوسي
/* clientsitelink-remove:1||enwiki */ La Liga academy HPC,20230221141051,نادي لا ليغا اس بي سي
/* clientsitelink-remove:1||enwiki */ Kelvin Boakye Yiadom,20230904184353,كلفن بواكي يادوم
/* clientsitelink-remove:1||enwiki */ 267 (number),20231017205217,267 (عدد)
/* clientsitelink-remove:1||enwiki */ 274 (number),20231015045412,274 (عدد)
/* clientsitelink-remove:1||enwiki */ 268 (number),20231020213050,268 (عدد)
/* clientsitelink-remove:1||enwiki */ 293 (number),20231017170743,293 (عدد)
/* clientsitelink-remove:1||enwiki */ Take your goddamn religion and get it OUT of the politics in this country!!,20230608132219,شبكة البث المسيحية
/* clientsitelink-remove:1||enwiki */ Seidu Faisal,20230409105846,سيدو فيصل
/* clientsitelink-remove:1||enwiki */ Libya–Vietnam relations,20231019184806,العلاقات الفيتنامية الليبية
/* clientsitelink-remove:1||enwikisource */ Portal:Croatia,20230602155626,بوابة:كرواتيا
/* clientsitelink-remove:1||enwiki */ Michael Asamoah,20230908155445,ميخائيل أسامواه
/* clientsitelink-remove:1||enwiki */ Secret Invasion (miniseries),20230805184429,الغزو السري (مسلسل)
/* clientsitelink-remove:1||enwiki */ Kofi Baah,20230908185355,كوفي باه
/* clientsitelink-remove:1||enwiki */ Rohit Thakur (soccer),20230328042526,روهيت ثاكور
/* clientsitelink-remove:1||enwiki */ Rakan Al-Harbi,20231019225600,راكان الحربي
/* clientsitelink-remove:1||enwiki */ If I Did It: Confessions Of The Killer,20230928004241,إذا فعلت ذلك
/* clientsitelink-remove:1||enwiki */ 2021 Mugu bus accident,20230921180505,حادث حافلة موغو 2021
/* clientsitelink-remove:1||enwiki */ 2021 Damascus bus bombing,20230428143303,تفجير حافلة دمشق 2021
/* clientsitelink-remove:1||enwiki */ Al-Qadiat raqm 1,20230208014418,القضية رقم واحد (مسرحية)
/* clientsitelink-remove:1||enwiki */ Ahmad Mishal Al-Ahmad Al-Sabah,20230308142410,أحمد مشعل الأحمد الصباح
/* clientsitelink-remove:1||enwiki */ Sesostris III painting in Semna,20230520030209,لوحة سنوسرت الثالث في سمنة
/* clientsitelink-remove:1||enwiki */ Sheikh Rashid bin Humaid Al Nuaimi IV,20230116174314,راشد النعيمي
/* clientsitelink-remove:1||enwiki */ ENSCO floating platforms 8500 and 8501,20230307190935,منصات إطلاق سبيس إكس العائمة
/* clientsitelink-remove:1||enwiki */ Jean-Pierre Petit,20230127185119,جان بيير بيتيت
/* clientsitelink-remove:1||enwiki */ José Alarcón (footballer),20231001215624,خوسيه ألاركون (لاعب كرة قدم)
/* clientsitelink-remove:1||enwiki */ M'Backé N'Diaye,20230629232827,مباكي ناديايي
/* clientsitelink-remove:1||enwiki */ Jordan Casanova,20230626195720,جوردن كازانوفا
/* clientsitelink-remove:1||enwiki */ Wegz,20230319164618,ويجز
/* clientsitelink-remove:1||enwiki */ Ferenc Kemény,20230928184050,فيرينك كيمني
/* clientsitelink-remove:1||enwiki */ Awn Hussain Al Khashlok,20230619232823,عون حسين الخشلوك
/* clientsitelink-remove:1||enwiki */ Abdulla Mahmoud,20230611222358,عبد الله محمود (لاعب كرة قدم)
/* clientsitelink-remove:1||enwiki */ Abdulla Mahmoud (footballer),20230701203751,عبد الله محمود (لاعب كرة قدم)
/* clientsitelink-remove:1||enwiki */ Nabd.com,20230107083649,تطبيق نبض
/* clientsitelink-remove:1||enwiki */ TaqTaq,20230922121616,مدينة طق طق
/* clientsitelink-remove:1||enwiki */ NGC 5035,20230321015434,NGC 5035
/* clientsitelink-remove:1||enwiki */ Abu Khashab shooting,20230428143119,مجزرة أبو خشب
/* clientsitelink-remove:1||enwiki */ 2023 French Open,20230429125823,بطولة فرنسا المفتوحة 2023
/* clientsitelink-remove:1||enwiki */ Proposal to make Arabic as the state language of Pakistan,20230706185443,اقتراح جعل اللغة العربية لغة رسمية لباكستان
/* clientsitelink-remove:1||enwiki */ Abdelouahed Mountassir,20230718120801,عبد الواحد منتصر
/* clientsitelink-remove:1||enwiki */ Abdulaziz Al-Harbi,20230806114700,عبد العزيز الحربي (لاعب كرة قدم مواليد 2003)
/* clientsitelink-remove:1||enwiki */ Patty Aubery,20231003190612,باتي أوبيري
/* clientsitelink-remove:1||enwikinews */ Academy amaro,20230620021411,أكاديمية أمارو للقهوة
/* clientsitelink-remove:1||enwiki */ Return on event,20231001023259,العائد على النشاط
/* clientsitelink-remove:1||enwikiquote */ Bad Cat,20230713030049,قط شرير (فيلم)
/* clientsitelink-remove:1||enwiki */ The Liar (1975 film),20230305052958,الكداب (فيلم)
/* clientsitelink-remove:1||enwiki */ Battle of Vuhledar,20230816115908,معركة فوهليدار
/* clientsitelink-remove:1||enwiki */ Technology acceptance model (TAM),20230430001105,نموذج تقبل التقنية
/* clientsitelink-remove:1||enwiki */ Chris Holm (author),20230505012351,كريس هولم
/* clientsitelink-remove:1||enwiki */ Chitral (princely state),20230620132422,شيترال (ولاية أميرية)
/* clientsitelink-remove:1||enwiki */ Muhammad Salih Bengali,20230503144640,محمد صالح البنغالي
/* clientsitelink-remove:1||enwiki */ Abdulaziz Al-Faraj,20230722133736,عبد العزيز الفرج
/* clientsitelink-remove:1||enwiki */ Fahman Abyan,20230316122544,نادي فحمان
/* clientsitelink-remove:1||enwiki */ Touda Bouanani,20230929140154,تودا بوعناني
/* clientsitelink-remove:1||enwiki */ The Downfall (1990 film),20230712054433,السقوط (فيلم 1990)
/* clientsitelink-remove:1||enwiki */ Al-Gabalawi,20230522103730,الجبلاوي (فيلم)
/* clientsitelink-remove:1||enwiki */ Heydar Latifiyan,20231015005343,حيدر لطيفيان
/* clientsitelink-remove:1||enwiki */ Wither skeleton,20230929174404,ويذر سكيليتون (ماينكرافت)
/* clientsitelink-remove:1||enwiki */ Hassan Ben Badida,20230526074435,حسن بن بديدة
/* clientsitelink-remove:1||enwiki */ 2023 FIFA Women's World Cup seeding,20230827081342,قرعة كأس العالم للسيدات 2023
/* clientsitelink-remove:1||enwiki */ 2022 Al-Sabboura bus bombing,20230517151837,تفجير الصبورة 2022
/* clientsitelink-remove:1||enwiki */ 2023 Bahrain Grand Prix,20230301003229,جائزة البحرين الكبرى 2023
/* clientsitelink-remove:1||enwiki */ Mohammed Tayseer,20231019140830,محمد تيسير
/* clientsitelink-remove:1||enwiki */ 2023 Monaco Grand Prix,20230517123401,جائزة موناكو الكبرى 2023
/* clientsitelink-remove:1||enwikiquote */ ChatGPT,20230710025348,شات جي بي تي
/* clientsitelink-remove:1||enwikinews */ Rawya kassem,20230220085946,راوية القاسم
/* clientsitelink-remove:1||enwikinews */ Rawya kassem,20230430033010,راوية القاسم
/* clientsitelink-remove:1||enwiki */ 11th millennium BC,20230224015102,ألفية 11 ق.م
/* clientsitelink-remove:1||enwiki */ The End of a Married Man,20230708170302,نهاية رجل تزوج (فيلم)
/* clientsitelink-remove:1||enwiki */ The Devil (2023 TV series),20230102072913,العائد (مسلسل كوري جنوبي)
/* clientsitelink-remove:1||enwiki */ Goodbye Sweetie,20230914070223,باي باي يا حلوة (فيلم)
/* clientsitelink-remove:1||enwiki */ Al Amaleyyya 42,20230819144522,العملية 42 (فيلم)
/* clientsitelink-remove:1||enwiki */ Wikipedia:Doc James/Ears nose throat,20230118143628,ويكيبيديا:مشروع ويكي طب/الأنف والأذن والحنجرة
/* clientsitelink-remove:1||enwiki */ Indonesian Arabic,20230820054807,العربية الاندونيسية
/* clientsitelink-remove:1||enwiki */ Nour Amache,20230130174141,نور عماش
/* clientsitelink-remove:1||enwiki */ Burj Binghatti,20230117205203,برج بن غاطي
/* clientsitelink-remove:1||enwiki */ Salem Matran,20230106122051,سالم مطران
/* clientsitelink-remove:1||enwiki */ Khoodi Mullah,20230106123823,خودي ملا
"/* clientsitelink-remove:1||enwikinews */ 7 killed, 12 in 2023 Rajouri attacks",20230326011252,هجمات راجوري 2023
/* clientsitelink-remove:1||enwiki */ Mohamed Dhaoui,20230121134801,محمد الضاوي
/* clientsitelink-remove:1||enwiki */ Mohamed Dhaoui,20230211115609,محمد الضاوي
/* clientsitelink-remove:1||enwiki */ Miss World 2023,20230119183622,ملكة جمال العالم 2023
/* clientsitelink-remove:1||enwiki */ AbdulMajeed Melhem,20230114185102,عبد المجيد ملحم
/* clientsitelink-remove:1||enwiki */ 2023 invasion of the Brazilian Congress,20230108194244,اقتحام الكونجرس البرازيلي 2023
/* clientsitelink-remove:1||enwiki */ UPayments,20230130174417,يوبيمنتس
/* clientsitelink-remove:1||enwiki */ Rana Kazkaz,20230118140534,رنا كزكز (مخرجة)
/* clientsitelink-remove:1||enwiki */ Queen of the Mask,20230116123302,ملكة الأقنعة
/* clientsitelink-remove:1||enwiki */ Hussein Ammar,20230410003709,حسين عمار (لاعب كرة قدم)
/* clientsitelink-remove:1||enwiki */ Hussein Ammar,20230710064346,حسين عمار (لاعب كرة قدم)
/* clientsitelink-remove:1||enwiki */ Neric,20230923144138,الوطنية المصرية لصناعة السكك الحديدية
/* clientsitelink-remove:1||enwiki */ CertiK,20230507055002,سيرتك
/* clientsitelink-remove:1||enwiki */ 2022–23 Tunisian Cup,20230420115840,كأس تونس 2022–23
/* clientsitelink-remove:1||enwikiquote */ Dark Cloud 2,20230430113743,دارك كرونوكل
/* clientsitelink-remove:1||enwiki */ Marash Triple Junction,20230208102832,تقاطع مرعش الثلاثي
/* clientsitelink-remove:1||enwiki */ Cláudio Maradona,20230223131608,كلاوديو مارادونا
/* clientsitelink-remove:1||enwiki */ Anshul Jubli,20230209190756,أنشول جوبلي
/* clientsitelink-remove:1||enwiki */ Anshul Jubli,20230213015242,أنشول جوبلي
/* clientsitelink-remove:1||enwiki */ MiSaMo,20230619082313,ميسامو
/* clientsitelink-remove:1||enwiki */ Benjamin Cremaschi,20230305085051,بنجامين كريماسكي
/* clientsitelink-remove:1||enwiki */ Barbaros Hayreddin: Sultanın Fermanı,20230729055747,خير الدين بربروس: مرسوم السلطان
/* clientsitelink-remove:1||enwiki */ 2023–24 Ligue 1,20230429123407,الدوري الفرنسي 2023–24
/* clientsitelink-remove:1||enwiki */ Saaren,20230308143723,سارن (فنانة)
/* clientsitelink-remove:1||enwiki */ Saaren (singer),20230409091420,سارن (فنانة)
/* clientsitelink-remove:1||enwiki */ Membership of the State of Palestine in international organizations,20230328094523,عضوية فلسطين في المنظمات الدولية
/* clientsitelink-remove:1||enwiki */ Ameer Kinani,20230323045037,أمير علاء
/* clientsitelink-remove:1||enwiki */ John Quijano,20230629062554,جون كيخانو
/* clientsitelink-remove:1||enwiki */ Fort Bouscaren,20230408142949,حصن بوسكارين
/* clientsitelink-remove:1||enwiki */ The art of halqa,20230411112846,الحلقة (تراث لا مادي مغربي)
/* clientsitelink-remove:1||enwiki */ Slaheddine Sebti,20230410233151,صلاح الدين السبتي
/* clientsitelink-remove:1||enwiki */ 2023 Hamra junction shooting,20230407115758,هجوم مفرق الحمرا 2023
/* clientsitelink-remove:1||enwiki */ İki Yabancı (TV series),20230419121952,شخص آخر
/* clientsitelink-remove:1||enwiki */ Tazi Habiba,20230524075022,حبيبة التازي
/* clientsitelink-remove:1||enwiki */ Habiba Tazi,20231010142924,حبيبة التازي
/* clientsitelink-remove:1||enwiki */ David Kelly (diplomat),20230227101630,دايفيد كيلي (دبلوماسي)
/* clientsitelink-remove:1||enwiki */ Sondous,20230424001949,سندس
/* clientsitelink-remove:1||enwiki */ Sharjah Classic Cars Museum,20230514112609,متحف الشارقة للسيارات القديمة
/* clientsitelink-remove:1||enwiki */ Mohammed Bouzoubaa (disambiguation),20230512232543,محمد بوزوبع (توضيح)
/* clientsitelink-remove:1||enwiki */ Ayoub Kadir,20230520142823,أيوب قدير
/* clientsitelink-remove:1||enwiki */ Cyclone Mocha,20230512234428,إعصار موكا
/* clientsitelink-remove:1||enwiki */ Van Royal Hotel,20230517091011,فندق فان رويال
/* clientsitelink-remove:1||enwiki */ Van royal hotel,20230517105218,فندق فان رويال
/* clientsitelink-remove:1||enwiki */ Shadi Farajpour,20230718224417,شادي فراجبور
/* clientsitelink-remove:1||enwiki */ Omid Fouladivanda,20230528133712,أوميد فولاديفاندا
/* clientsitelink-remove:1||enwiki */ Omid Fouladivanda,20230718224416,أوميد فولاديفاندا
/* clientsitelink-remove:1||enwiki */ Fritz Fleischer,20230522204445,فريتز فليشر
/* clientsitelink-remove:1||enwiki */ French appétit,20230821214533,فرنش أبيتي
/* clientsitelink-remove:1||enwiki */ Mikko Holm,20230522205625,ميكو هولم
/* clientsitelink-remove:1||enwiki */ Emirates Development Bank,20230614131532,مصرف الإمارات للتنمية
/* clientsitelink-remove:1||enwiki */ Sultan Haitham City,20231020025923,مدينة السلطان هيثم
/* clientsitelink-remove:1||enwiki */ Pashang Abdulla,20230605144518,باشانغ عبد الله
/* clientsitelink-remove:1||enwiki */ Teresa Duran,20230928183906,تيريزا دوران
/* clientsitelink-remove:1||enwiki */ Events of the eastern region 2011,20230629195454,انتفاضة المنطقة الشرقية 2011
/* clientsitelink-remove:1||enwiki */ Eastern Province uprising from Saudi Arabia 2011,20230801052006,انتفاضة المنطقة الشرقية 2011
/* clientsitelink-remove:1||enwiki */ Hyperpower,20230802042534,قوة مفرطة
/* clientsitelink-remove:1||enwiki */ Primos (TV series),20230711033247,بريموس
"/* clientsitelink-remove:1||enwiki */ Embassy of Germany, Ankara",20230704025150,سفارة ألمانيا في تركيا
/* clientsitelink-remove:1||enwiki */ Jebel Hafeet Tombs,20230707102622,مدافن جبل حفيت
/* clientsitelink-remove:1||enwiki */ Marouf bin Meshkan,20230713145354,معروف بن مشكان
/* clientsitelink-remove:1||enwiki */ Waleed Asiri,20230723114942,وليد عسيري
/* clientsitelink-remove:1||enwiki */ Ogʻullik,20230302012655,آغوليك
/* clientsitelink-remove:1||enwiki */ Ayrilish,20230304125748,أيريليش
/* clientsitelink-remove:1||enwiki */ Oqbo‘yra,20230302021452,آق بوريا
/* clientsitelink-remove:1||enwiki */ Vaxim,20230303143446,فاخيم
/* clientsitelink-remove:1||enwiki */ Worldef,20230802145342,وورلديف
/* clientsitelink-remove:1||enwiki */ Abdou Sidikou Issa,20230906233657,عبدو صديقو عيسى
/* clientsitelink-remove:1||enwiki */ Moussa Salaou Barmou,20230728162306,موسى صلاح بارمو
/* clientsitelink-remove:1||enwiki */ Qo'shtepa (Jalaquduq tumani),20230302001307,قوشتبه (جلاقدوق)
/* clientsitelink-remove:1||enwiki */ Ko'kalam (Jalaquduq tumani),20230302001509,كوكلام
"/* clientsitelink-remove:1||enwiki */ Do‘stlik, Andijon Region",20230302004440,كونجي
/* clientsitelink-remove:1||enwiki */ Abdulrahman Al-Mughais,20230813014456,عبد الرحمن المغيص
/* clientsitelink-remove:1||enwiki */ Poʻloti,20230302023403,بولاتي (أوزبكستان)
/* clientsitelink-remove:1||enwiki */ Poʻloti,20230314013952,بولاتي (أوزبكستان)
/* clientsitelink-remove:1||enwiki */ Rovvot,20230303143516,روفوت
/* clientsitelink-remove:1||enwiki */ The Dough,20230101235128,القيثارة (فيلم 1970)
/* clientsitelink-remove:1||enwiki */ T.Aliyev,20230304125748,ت. علييف
/* clientsitelink-remove:1||enwiki */ Veronika Ustimova,20230818131949,فيرونيكا أوستيموفا
/* clientsitelink-remove:1||enwiki */ Xartum,20230302011803,خرطوم (أوزبكستان)
/* clientsitelink-remove:1||enwiki */ Piet Eckert,20230224183148,بييت إيكيرت
/* clientsitelink-remove:1||enwiki */ Ahmed Fahmy,20230319095530,أحمد فهمي (ممثل)
/* clientsitelink-remove:1||enwiki */ Amin Dabo,20230716201834,أمين دابو
/* clientsitelink-remove:1||enwiki */ Ayn Aqly,20230921102523,أين عقلي (فيلم)
/* clientsitelink-remove:1||enwiki */ Ishbilya,20231011205316,إشبيلية (الكويت)
/* clientsitelink-remove:1||enwiki */ Steha,20230727024646,سطيحة
/* clientsitelink-remove:1||enwiki */ Modern Discussion,20230314104034,الحوار المتمدن
/* clientsitelink-remove:1||enwiki */ El ataba el khadra,20230403203701,العتبة الخضراء (فيلم)
/* clientsitelink-remove:1||enwiki */ El Fanous El Sehry,20230403203701,الفانوس السحري (فيلم)
/* clientsitelink-remove:1||enwiki */ Bader Al-Hagbani,20230630142740,بدر الحقباني
/* clientsitelink-remove:1||enwiki */ Barhalyoun,20230320110928,برحليون
"/* clientsitelink-remove:1||enwikiquote */ Go, Diego, Go!",20230314202233,جو ديجو جو
/* clientsitelink-remove:1||enwiki */ Diego Hofland,20230430141940,دييغو هوفلاند
/* clientsitelink-remove:1||enwiki */ Jabal Akroum,20230325160811,جبل أكروم
/* clientsitelink-remove:1||enwiki */ Habib al omr,20230318010414,حبيب العمر (فيلم)
/* clientsitelink-remove:1||enwiki */ Darb Alzalaq,20230407151617,درب الزلق (مسلسل)
/* clientsitelink-remove:1||enwiki */ Saʽid al-Kamali,20230417121430,سعيد الكملي
/* clientsitelink-remove:1||enwiki */ Elsewedy University of Technology,20230902180428,جامعة السويدي للتكنولوجيا
/* clientsitelink-remove:1||enwiki */ Elsewedy University of Technology,20230903082456,جامعة السويدي للتكنولوجيا
/* clientsitelink-remove:1||enwiki */ Elsewedy University of Technology,20230903110505,جامعة السويدي للتكنولوجيا
/* clientsitelink-remove:1||enwiki */ Abdulaziz Al-Dhiyabi,20230613230725,عبد العزيز الذيابي
/* clientsitelink-remove:1||enwiki */ Abdullah Al Huwail,20230630142905,عبد الله الحويل
/* clientsitelink-remove:1||enwiki */ Ali Al-Omari,20230303071642,علي العمري (داعية سعودي)
/* clientsitelink-remove:1||enwiki */ Fahd Al-Hamdan,20230117152532,فهد الحمدان
/* clientsitelink-remove:1||enwiki */ Muhammad bin Abd al-Wahhab al-Faihani palace,20230101181649,قصر محمد بن عبد الوهاب الفيحاني
/* clientsitelink-remove:1||enwiki */ Tafila Castle,20230109120914,قلعة الطفيلة
/* clientsitelink-remove:1||enwiki */ Dubiyeh Castle,20230107164825,قلعة دوبية
/* clientsitelink-remove:1||enwiki */ Infinity TV,20230616230727,قناة إنفنيتي الفضائية
/* clientsitelink-remove:1||enwiki */ Karama Mursal,20230722134635,كرامة مرسال
/* clientsitelink-remove:1||enwiki */ Kfar Hay,20231009234356,كفر حي
/* clientsitelink-remove:1||enwiki */ Chemanol,20230421003222,كيمانول
/* clientsitelink-remove:1||enwiki */ Leila Toubel,20230811180931,ليلى طوبال
/* clientsitelink-remove:1||enwiki */ Hussaini Abdu,20230911203709,الحسيني عبده
/* clientsitelink-remove:1||enwiki */ Sultan Bin Abdulaziz Humanitarian City,20230701212020,مدينة سلطان بن عبد العزيز للخدمات الإنسانية
/* clientsitelink-remove:1||enwiki */ Wim Eckert,20230224183036,ويم إيكيرت
/* clientsitelink-remove:1||enwiki */ IPhone 15 Pro,20230912192249,آيفون 15 برو
/* clientsitelink-remove:1||enwiki */ Ministry of Local Government (Palestine),20230416134019,وزارة الحكم المحلي (فلسطين)
/* clientsitelink-remove:1||enwiki */ Bayt Mal Al Qods Acharif Agency,20230522103636,وكالة بيت مال القدس الشريف
/* clientsitelink-remove:1||enwiki */ Yasser Al-Dosari,20230501153933,ياسر الدوسري
/* clientsitelink-remove:1||enwiki */ Yasser Hareb,20230609150536,ياسر حارب
/* clientsitelink-remove:1||enwiki */ Gabriel St. Laurent,20230522204505,جبريل سانت لوران
/* clientsitelink-remove:1||enwiki */ Pierre Alvarez,20230522205807,بيير ألفاريز
/* clientsitelink-remove:1||enwiki */ Dion Frazer,20231007173444,ديون فرازر
/* clientsitelink-remove:1||enwiki */ 2023 Nagorno-Karabakh clashes,20230919104818,اشتباكات مرتفعات قره باغ 2023
/* clientsitelink-remove:1||enwiki */ Abu Qouta family massacre,20231015175442,مجزرة عائلة أبو قوطة
"/* clientsitelink-remove:1||enwiki */ Ibrahim Jamal (footballer, born 2002)",20231019140825,إبراهيم جمال (لاعب كرة قدم مواليد 2002)
/* clientsitelink-remove:1||enwiki */ Abdullah Hakami,20231019140825,عبد الله حكمي
/* clientsitelink-remove:1||enwiki */ Viggo Petersen,20230522210055,فيغو بيترسن
/* clientsitelink-remove:1||enwiki */ Edward Santana,20230728200157,إدوارد سانتانا
/* clientsitelink-remove:1||enwiki */ Emile Jansen,20230926231326,إيميل يانسن
/* clientsitelink-remove:1||enwiki */ Qatar National Bank Tower,20230101191138,برج بنك قطر الوطني
/* clientsitelink-remove:1||enwiki */ Johannes Kolling,20230522205144,يوهانس كولينج
/* clientsitelink-remove:1||enwiki */ Supremacy 1914,20230723162433,الحرب العالمية الأولى (لعبة)
/* clientsitelink-remove:1||enwiki */ Sinan Erbil,20230516234343,سنان أربيل
/* clientsitelink-remove:1||enwiki */ Amina Yusifgizi,20230311143739,أمينة يوسيفقيزي
/* clientsitelink-remove:1||enwiki */ 1301 (disambiguation),20230713041634,1301 (توضيح)
/* clientsitelink-remove:1||enwiki */ Liam Hess,20230110082924,ليام هيس
/* clientsitelink-remove:1||enwiki */ John Dew (diplomat),20230220124607,جون ديو (دبلوماسي)
/* clientsitelink-remove:1||enwiki */ Portal:Tanks,20230324060425,بوابة:دبابات
/* clientsitelink-remove:1||enwiki */ Kang Bong-chil,20231005231521,كانغ بونغ تشل
/* clientsitelink-remove:1||enwiki */ Library and information science,20230401112755,علم المكتبات والمعلومات
/* clientsitelink-remove:1||enwiki */ Yannick Vero,20230717055403,يانيك فيرو
/* clientsitelink-remove:1||enwiki */ Bryon Kiefer,20230623135303,بريون كيفر
/* clientsitelink-remove:1||enwiki */ Ernst Frigast,20230522204303,إرنست فريجاست
/* clientsitelink-remove:1||enwiki */ Children's Cancer and Leukaemia Group,20230417035853,مجموعة السرطان وابيضاض الدم عند الأطفال
/* clientsitelink-remove:1||enwikiquote */ Kill la Kill,20230415114743,كيل لا كيل
/* clientsitelink-remove:1||enwikivoyage */ Zapolyarny,20230316121201,زابوليارني
