deleted_page,date_of_delete,name_of_page
/* clientsitelink-remove:1||enwiki */ Edgar-Yves,20230225003332,إدغار إيف مونو
/* clientsitelink-remove:1||enwiki */ Abdulrahman Battawi,20230224184202,عبد الرحمن بطاوي
/* clientsitelink-remove:1||enwiki */ Khalid Mubarak,20230409230949,خالد مبارك (لاعب كرة قدم قطري)
/* clientsitelink-remove:1||enwiki */ Andreas Paraskevas,20230726225128,أندرياس باراسكيفاس
/* clientsitelink-remove:1||enwiki */ Mr. Kaaf,20230202051409,السيد كاف (فيلم)
/* clientsitelink-remove:1||enwiki */ Karina (rapper),20230830145756,كارينا (رابر)
/* clientsitelink-remove:1||enwiki */ B2MML,20230331201742,لغة الترميز من الأعمال إلى التصنيع
/* clientsitelink-remove:1||enwiki */ Béatrice Thomas,20230608233049,بياتريس توماس
/* clientsitelink-remove:1||enwiki */ Salah Barmada,20230211060441,صلاح الدين برمدا
"/* clientsitelink-remove:1||enwiki */ Embassy of the United States, Brasília",20230425133713,سفارة الولايات المتحدة في البرازيل
/* clientsitelink-remove:1||enwikiquote */ Fadma Abi,20230710025209,فاضمة عبي
/* clientsitelink-remove:1||enwiki */ Djémoussa Traoré,20230402220853,دجيموسى تراوري
/* clientsitelink-remove:1||enwiki */ Zak Thompson,20230524233915,زاك تومسون
/* clientsitelink-remove:1||enwiki */ Higher Institute of Nursing Sciences of Tunis,20230926163956,المعهد العالي لعلوم التمريض بتونس
/* clientsitelink-remove:1||enwiki */ Higher Institute of Nursing Sciences of Tunis,20230926173025,المعهد العالي لعلوم التمريض بتونس
/* clientsitelink-remove:1||enwiki */ Nathaniel Lamptey,20230829225808,ناثانيل لامبتي
/* clientsitelink-remove:1||enwiki */ Abbas Al-Hassan,20230409231114,عباس الحسن
/* clientsitelink-remove:1||enwiki */ Higher Committee of Human Fraternity,20230304234923,اللجنة العليا للأخوة الإنسانية
/* clientsitelink-remove:1||enwiki */ Percent-encoding,20230119104444,ترميز النسبة المئوية
/* clientsitelink-remove:1||enwiki */ Othman Al-Othman,20230729054140,عثمان العثمان
/* clientsitelink-remove:1||enwiki */ David Meechan,20230306231141,ديفيد ميتشان
/* clientsitelink-remove:1||enwiki */ Miodrag Vasiljević,20230215233705,ميودراغ فاسيليفيتش
/* clientsitelink-remove:1||enwiki */ Jason Ebanks,20230619231526,جايسون إيبانكس
